"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\admin\AdminButtonsPanel.tsx", "TypeScript JSX", 35, 0, 0, 0, 1, 6, 42
"c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\admin\AdminCourseListComponent.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 8, 58
"c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\admin\AdminCourseListPanel.tsx", "TypeScript JSX", 60, 0, 0, 0, 1, 4, 65
"c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\ContributionGraphComponent.tsx", "TypeScript JSX", 28, 0, 0, 0, 1, 4, 33
"c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\DefaultNumberInput.tsx", "TypeScript JSX", 42, 0, 0, 0, 1, 5, 48
"c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\DefaultTextInput.tsx", "TypeScript JSX", 48, 0, 0, 0, 1, 6, 55
"c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\IconAndText.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 4, 21
"c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\LinearGraph.tsx", "TypeScript JSX", 44, 0, 0, 0, 1, 7, 52
"c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\LoadingIndicator.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 3, 16
"c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\RoundIconButton.tsx", "TypeScript JSX", 22, 0, 0, 0, 1, 4, 27
"c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\courses\CourseDetailInfo.tsx", "TypeScript JSX", 72, 0, 0, 0, 1, 4, 77
"c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\courses\CourseForm.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 4, 79
