Date : 2025-05-12 10:38:46
Directory : c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src
Total : 74 files,  3219 codes, 30 comments, 414 blanks, all 3663 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         64 |      2,744 |         28 |        350 |      3,122 |
| JavaScript     |          7 |        378 |          2 |         57 |        437 |
| JSON           |          2 |         74 |          0 |          2 |         76 |
| TypeScript     |          1 |         23 |          0 |          5 |         28 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |         74 |      3,219 |         30 |        414 |      3,663 |
| . (Files)                                                                                                                                  |          1 |         12 |          0 |          4 |         16 |
| components                                                                                                                                 |         37 |      1,780 |         19 |        187 |      1,986 |
| components\app                                                                                                                             |         27 |      1,268 |         14 |        134 |      1,416 |
| components\app\admin                                                                                                                       |          3 |        145 |          2 |         18 |        165 |
| components\app\common                                                                                                                      |          7 |        214 |          5 |         33 |        252 |
| components\app\courses                                                                                                                     |          6 |        355 |          3 |         29 |        387 |
| components\app\screen_component                                                                                                            |          7 |        326 |          2 |         31 |        359 |
| components\app\user                                                                                                                        |          2 |        141 |          2 |         12 |        155 |
| components\app\valoration                                                                                                                  |          2 |         87 |          0 |         11 |         98 |
| components\bar                                                                                                                             |          3 |        195 |          2 |         18 |        215 |
| components\global                                                                                                                          |          2 |        142 |          1 |         11 |        154 |
| components\login                                                                                                                           |          4 |        160 |          2 |         18 |        180 |
| components\util                                                                                                                            |          1 |         15 |          0 |          6 |         21 |
| context                                                                                                                                    |          6 |        352 |          2 |         51 |        405 |
| core                                                                                                                                       |          7 |        440 |          7 |         56 |        503 |
| core (Files)                                                                                                                               |          2 |         66 |          0 |         13 |         79 |
| core\dao                                                                                                                                   |          5 |        374 |          7 |         43 |        424 |
| lib                                                                                                                                        |          1 |         23 |          0 |          5 |         28 |
| manager                                                                                                                                    |          2 |         30 |          0 |          7 |         37 |
| screens                                                                                                                                    |         10 |        386 |          2 |         61 |        449 |
| screens\app                                                                                                                                |          8 |        354 |          2 |         55 |        411 |
| screens\login                                                                                                                              |          2 |         32 |          0 |          6 |         38 |
| styles                                                                                                                                     |          1 |          8 |          0 |          3 |         11 |
| translation                                                                                                                                |          3 |        100 |          0 |          8 |        108 |
| translation (Files)                                                                                                                        |          1 |         26 |          0 |          6 |         32 |
| translation\language                                                                                                                       |          2 |         74 |          0 |          2 |         76 |
| types                                                                                                                                      |          5 |         78 |          0 |         30 |        108 |
| util                                                                                                                                       |          1 |         10 |          0 |          2 |         12 |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                   | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\admin\AdminButtonsPanel.tsx                             | TypeScript JSX |         35 |          1 |          6 |         42 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\admin\AdminCourseListComponent.tsx                      | TypeScript JSX |         50 |          0 |          8 |         58 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\admin\AdminCourseListPanel.tsx                          | TypeScript JSX |         60 |          1 |          4 |         65 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\ContributionGraphComponent.tsx                   | TypeScript JSX |         28 |          1 |          4 |         33 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\DefaultNumberInput.tsx                           | TypeScript JSX |         42 |          1 |          5 |         48 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\DefaultTextInput.tsx                             | TypeScript JSX |         48 |          1 |          6 |         55 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\IconAndText.tsx                                  | TypeScript JSX |         17 |          0 |          4 |         21 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\LinearGraph.tsx                                  | TypeScript JSX |         44 |          1 |          7 |         52 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\LoadingIndicator.tsx                             | TypeScript JSX |         13 |          0 |          3 |         16 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\common\RoundIconButton.tsx                              | TypeScript JSX |         22 |          1 |          4 |         27 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\courses\CourseDetailInfo.tsx                            | TypeScript JSX |         72 |          1 |          4 |         77 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\courses\CourseForm.tsx                                  | TypeScript JSX |         75 |          0 |          4 |         79 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\courses\CourseListComponent.tsx                         | TypeScript JSX |         44 |          0 |          7 |         51 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\courses\CourseListPanel.tsx                             | TypeScript JSX |         62 |          1 |          4 |         67 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\courses\CourseSuscribeButton.tsx                        | TypeScript JSX |         32 |          0 |          4 |         36 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\courses\CourseValorationPanel.tsx                       | TypeScript JSX |         70 |          1 |          6 |         77 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\screen_component\AdminCourseCreationScreenComponent.tsx | TypeScript JSX |         57 |          0 |          4 |         61 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\screen_component\AdminCourseEditScreenComponent.tsx     | TypeScript JSX |         64 |          0 |          4 |         68 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\screen_component\AdminScreenComponent.tsx               | TypeScript JSX |         30 |          1 |          5 |         36 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\screen_component\AdminStatsScreenComponent.tsx          | TypeScript JSX |         64 |          0 |          5 |         69 |
| c:\Users\SaulBasconcillosCorr\Practicas\Proyectos\managementApp\src\components\app\screen_component\CourseDetailScreenComponent.tsx        | TypeScript JSX |         47 |          0 |          4 |         51 |
